videoposition,rarity,cards,player,drop,position,defense,attack,stamina,ball_stopper,super_sub,inspire,captain,man_mark,long_passer,enforcer,box_to_box,dribbler,power
1,Starter,1,Moussa Marega,FE,Forward,0,1,2,,X,,,,,,,,5
2,Starter,1,William Carvalho,FE,Midfielder,2,0,1,,,,,,,,,,3
3,Starter,1,Ezequiel Garay,FE,Defender,2,0,1,X,,,,,,,,,7
4,Starter,1,Lisandro López,FE,Forward,0,1,2,,,,,,,,,,3
5,Starter,1,Marcos Rojo,FE,Defender,1,0,2,X,,,,,,,,,7
6,Starter,1,Diogo Jota,FE,Forward,0,2,1,,,S1,,,,,,,4
7,Starter,1,Kostas Mitroglou,FE,Forward,0,1,2,,,,,,,,,,3
8,Starter,1,Hyun-jun Suk,FE,Forward,0,2,2,,,,S1,,,,,,5
9,Starter,1,Óscar Cardozo,FE,Forward,0,2,1,,,,S1,,,,,,4
10,Starter,1,Cristian Tello,FE,Midfielder,0,1,2,,,S1,,,,,,,4
11,Starter,1,Shoya Nakajima,FE,Midfielder,0,2,1,,,,S1,,,,,,4
12,Starter,1,Ahmed Hassan,FE,Forward,0,2,1,,,S1,,,,,,,4
13,Starter,1,Rodrigo Moreno,FE,Forward,0,1,3,,,,,,,,,,4
14,Starter,1,Óliver Torres,FE,Midfielder,1,1,2,,,,S1,,,,,,4
15,Starter,1,Eduardo Salvio,FE,Midfielder,0,1,2,,,,S1,,,,,,4
16,Starter,1,Enzo Pérez,FE,Midfielder,3,2,1,,,,,,,,,,4
17,Starter,1,Yacine Brahimi,FE,Midfielder,0,2,1,,,,,,,,,,3
18,Starter,1,Rui Patrício,FE,Goalkeeper,6,1,2,,,,S1,,,,,,9
19,Starter,1,João Moutinho,FE,Midfielder,1,1,3,,,,,,,,,,4
20,Starter,1,Héctor Herrera,FE,Midfielder,1,1,2,,,,,,,,,,3
21,Starter,1,Axel Witsel,FE,Midfielder,2,1,1,,,,,,,,,,3
22,Starter,1,Nicolás Gaitán,FE,Midfielder,0,1,2,,,,,,,,,,3
23,Starter,1,Islam Slimani,FE,Forward,0,2,1,,,,,,,,,,3
24,Starter,1,Vincent Aboubakar,FE,Forward,0,1,3,,,S1,,,,,,,5
25,Starter,1,Eric Dier,FE,Defender,1,0,2,X,,,,,,,,,7
26,Starter,1,Teófilo Gutiérrez,FE,Forward,0,1,2,,,,S1,,,,,,4
27,Starter,1,Anderson Talisca,FE,Midfielder,0,2,1,,,S1,,,,,,,4
28,Starter,1,Fábio Coentrão,FE,Defender,2,1,2,,,,,,,,,,4
