Decks,Grey,Common,Special,Epic,Legendary,Unique,Total
A,18,30,2,0,0,0,50
B,15,30,5,0,0,0,50
C,5,25,20,0,0,0,50
D,2,25,23,0,0,0,50
E,0,18,30,2,0,0,50
F,0,15,30,5,0,0,50
G,0,0,22,23,5,0,50
H,0,0,20,20,10,0,50
I,0,0,5,18,25,2,50
J,0,0,2,25,18,5,50
,,,,,,,,,,,,,,,,,,,,,,
Decks,G,D,M,A,Total
1,6,15,14,15,50
2,6,17,10,17,50
3,7,15,13,15,50
4,7,17,10,16,50
5,8,15,13,14,50
6,8,17,10,15,50
7,9,14,13,14,50
8,9,16,10,15,50
9,10,15,11,14,50
10,10,15,10,15,50
11,4,20,10,16,50
12,6,15,10,19,50
13,8,10,10,22,50
14,10,20,15,5,50
15,5,15,15,15,50
16,7,10,15,18,50
17,9,20,20,1,50
18,4,15,20,11,50
19,6,10,20,14,50
20,8,20,10,12,50
